height,market_value,full_name,preferred_foot,primary_position,shirt,clean_sheets,goals_conceded,matches,minutes_played,rating,red_cards,saved_penalties,yellow_cards
193,€35M,Alisson Becker,Right,GK,1,9,29,28,"2,509",7.15,0,0/1,0
187,€5.5M,Vitezslav Jaros,Right,GK,56,,,1,11,6.32,0,,0
188,€23M,Caoimhin Kelleher,Right,GK,62,4,12,10,900,6.89,0,1/1,0
182,€300K,Harvey Davies,Left,GK,95,,,,,,,,
183,€33M,David Raya,Right,GK,22,13,34,38,"3,420",7.21,0,0/3,3
189,€3M,Neto,Right,GK,32,,2,2,180,7.88,0,,0
185,€550K,Tommy Setford,Right,GK,36,,,,,,,,
183,€9.5M,Stefan Ortega,Right,GK,18,3,18,13,"1,099",6.81,0,0/2,1
188,€35M,Ederson Moraes,Left,GK,31,10,26,26,"2,321",7.11,0,0/2,4
190,€250K,Scott Carson,Right,GK,33,,3,1,90,6.55,0,1/2,0
195,€300K,Eddie Beach,Right,GK,,,,,,,,,
193,€5.5M,Gabriel Slonina,Right,GK,,1,16,11,990,6.77,0,,0
189,€11M,Kepa Arrizabalaga,Right,GK,,8,39,31,"2,790",6.95,0,0/4,3
197,€23M,Robert Sánchez,Left,GK,1,10,34,32,"2,880",7.13,0,1/5,5
190,€18M,Filip Jörgensen,Right,GK,12,1,9,6,540,6.44,0,0/1,0
194,€650K,Marcus Bettinelli,Right,GK,13,,,0,0,,0,,1
200,€800K,Lucas Bergström,Right,GK,47,,,,,,,,
190,€1.4M,Martin Dubravka,Right,GK,1,5,12,10,900,7.12,0,,0
188,€15M,Odisseas Vlachodimos,Right,GK,19,1,12,5,450,5.68,0,0/1,0
191,€20M,Nick Pope,Right,GK,22,8,35,28,"2,520",7.16,0,1/2,2
193,€270K,John Ruddy,Right,GK,26,,3,2,135,6.30,0,,0
190,€350K,Mark Gillespie,Right,GK,29,,,,,,,,
195,€850K,Filip Marschall,Right,GK,,,,,,,,,
194,€2M,Joe Gauci,Right,GK,,,,,,,,,
195,€27M,Emiliano Martinez,Right,GK,23,8,45,37,"3,195",7.01,1,1/2,5
198,€1.5M,Robin Olsen,Right,GK,25,1,6,4,225,6.86,0,0/1,0
198,€420K,Wayne Hennessey,Right,GK,13,,5,4,271,6.61,0,,0
188,€7.5M,Matz Sels,Right,GK,26,13,46,38,"3,420",7.09,0,0/3,4
200,€3.5M,Carlos Miguel,Left,GK,33,,,,,,,,
193,€27M,Bart Verbruggen,Right,GK,1,7,58,36,"3,240",6.62,0,0/9,6
188,€4M,Jason Steele,Right,GK,23,1,1,2,180,7.32,0,,0
185,€650K,Thomas McGill,Right,GK,37,,,,,,,,
188,€3.3M,Carl Rushworth,Left,GK,39,,,,,,,,
191,€4M,Mark Travers,Right,GK,,1,5,5,450,7.76,0,,0
188,€300K,Will Dennis,Right,GK,40,,,,,,,,
188,,Ben Winterbottom,Left,GK,,,,,,,,,
183,€350K,Ellery Balcombe,Right,GK,,,,,,,,,
182,€850K,Matthew Cox,Right,GK,,,,0,0,,0,,0
189,€13M,Mark Flekken,Both,GK,1,7,55,37,"3,276",7.05,0,0/1,1
188,€3M,Hákon Rafn Valdimarsson,Right,GK,12,,2,2,144,6.43,0,,0
190,€18M,Bernd Leno,Right,GK,1,5,54,38,"3,420",6.82,0,1/4,5
192,€950K,Steven-Andreas Benda,Right,GK,23,,,,,,,,
179,€950K,Joe Whitworth,Right,GK,,,5,2,180,5.48,0,,0
190,€250K,Louie Moulden,Right,GK,,,,,,,,,
188,€16M,Dean Henderson,Right,GK,1,11,51,38,"3,420",7.03,0,1/2,3
190,€7.5M,Matt Turner,Right,GK,30,2,28,17,"1,530",6.57,0,0/2,2
184,€450K,Remi Matthews,Right,GK,31,,1,1,3,,0,,0
185,€80K,William Crellin,Right,GK,,,,,,,,,
185,€25M,Jordan Pickford,Left,GK,1,12,44,38,"3,420",7.24,0,2/2,7
191,€850K,Joao Virginia,Left,GK,12,,,1,47,5.92,0,,0
199,€320K,Asmir Begovic,Right,GK,31,1,,1,90,7.91,0,,0
194,€80K,Harry Tyrer,Right,GK,53,,,,,,,,
190,€800K,Lukasz Fabianski,Right,GK,1,2,21,14,"1,161",6.89,0,0/3,2
185,€950K,Wesley Foderingham,Left,GK,21,1,79,30,"2,648",6.39,0,0/5,2
195,€13M,Alphonse Areola,Right,GK,23,4,41,26,"2,259",6.53,0,,0
192,€17M,José Sá,Right,GK,1,7,48,29,"2,609",6.87,0,2/7,2
188,€2.5M,Daniel Bentley,Right,GK,25,1,4,2,180,6.78,0,,0
193,€13M,Sam Johnstone,Right,GK,31,,17,7,630,6.31,0,0/2,0
186,€300K,Tom King,Right,GK,40,,,1,1,,0,,0
201,€1.6M,Fraser Forster,Right,GK,20,1,15,7,630,6.80,0,0/2,0
190,€15M,Antonin Kinsky,Right,GK,31,1,11,6,540,7.18,0,,0
188,€650K,Brandon Austin,Right,GK,40,,2,1,90,7.50,0,,0
189,€550K,Alfie Whiteman,Right,GK,41,,,,,,,,
191,€1.3M,Danny Ward,Right,GK,1,,6,2,135,4.82,0,,0
187,€9.5M,Mads Hermansen,Right,GK,30,1,58,27,"2,385",6.69,0,1/4,1
191,€3.5M,Daniel Iversen,Right,GK,31,1,22,12,"1,080",6.52,0,0/2,0
194,€350K,Jakub Stolarczyk,Right,GK,41,2,16,10,900,6.78,0,,1
197,€8M,Arijanet Muric,Right,GK,1,1,33,18,"1,620",6.53,0,0/3,1
191,€350K,Cieran Slicker,Right,GK,13,,,,,,,,
196,€950K,Christian Walton,Left,GK,28,1,19,7,630,6.26,0,0/2,0
183,€1.5M,Alex Palmer,Right,GK,31,,30,13,"1,170",6.61,0,0/1,2
193,€600K,Alex McCarthy,Right,GK,1,,13,5,450,6.12,0,0/2,0
190,€650K,Joe Lumley,Right,GK,13,,7,3,270,6.44,0,,0
188,€16M,Aaron Ramsdale,Right,GK,30,3,66,30,"2,700",6.62,0,2/7,2
