team_id,season_id,wins,draws,losses,goals_scored,goals_conceded,points,position_in_table,matches_played
10,274,0,0,0,0,0,0,1,0
11,274,0,0,0,0,0,0,2,0
12,274,0,0,0,0,0,0,3,0
4,274,0,0,0,0,0,0,4,0
26,274,0,0,0,0,0,0,5,0
21,274,0,0,0,0,0,0,6,0
38,274,0,0,0,0,0,0,7,0
1,274,0,0,0,0,0,0,8,0
18,274,0,0,0,0,0,0,9,0
43,274,0,0,0,0,0,0,10,0
20,274,0,0,0,0,0,0,11,0
7,274,0,0,0,0,0,0,12,0
23,274,0,0,0,0,0,0,13,0
6,274,0,0,0,0,0,0,14,0
131,274,0,0,0,0,0,0,15,0
25,274,0,0,0,0,0,0,16,0
2,274,0,0,0,0,0,0,17,0
127,274,0,0,0,0,0,0,18,0
33,274,0,0,0,0,0,0,19,0
14,274,0,0,0,0,0,0,20,0
