team_id,name,short_name,founded,stadium,capacity
1,Arsenal,Arsenal,,Emirates Stadium,60338
2,Aston Villa,Aston Villa,,Villa Park,42785
46,Cardiff City,Cardiff,,Cardiff City Stadium,26896
4,Chelsea,Chelsea,,Stamford Bridge,41798
6,Crystal Palace,Crystal Palace,,Selhurst Park,26255
7,Everton,Everton,,Goodison Park,39571
34,Fulham,Fulham,,Craven Cottage,25700
41,Hull City,Hull,,MKM Stadium,
10,Liverpool,Liverpool,,Anfield,45276
11,Manchester City,Man City,,Etihad Stadium,47405
12,Manchester United,Man Utd,,Old Trafford,75731
23,Newcastle United,Newcastle,,St. James' Park,52405
14,Norwich City,Norwich,,Carrow Road,27244
20,Southampton,Southampton,,St. Mary's Stadium,32689
42,Stoke City,Stoke,,Britannia Stadium,27740
29,Sunderland,Sunderland,,Stadium of Light,48707
45,Swansea City,Swansea,,Liberty Stadium,20750
21,Tottenham Hotspur,Spurs,,White Hart Lane,36284
36,West Bromwich Albion,West Brom,,The Hawthorns,26445
25,West Ham United,West Ham,,Boleyn Ground,35016
